,Item,Year,Area harvested,Production,Yield
0,Spices & Herbs,1990,21500.0,18000.0,837.2
1,Spices & Herbs,1991,20000.0,15000.0,750.0
2,Spices & Herbs,1992,20000.0,14000.0,700.0
3,Spices & Herbs,1993,20000.0,16500.0,825.0
4,Spices & Herbs,1994,24000.0,20000.0,833.3
5,Spices & Herbs,1995,24000.0,20000.0,833.3
6,Spices & Herbs,1996,24500.0,20500.0,836.7
7,Spices & Herbs,1997,25000.0,21000.0,840.0
8,Spices & Herbs,1998,25500.0,21500.0,843.1
9,Spices & Herbs,1999,26000.0,22000.0,846.2
10,Spices & Herbs,2000,26000.0,22000.0,846.2
11,Spices & Herbs,2001,26000.0,22000.0,846.2
12,Spices & Herbs,2002,26000.0,22000.0,846.2
13,Spices & Herbs,2003,26000.0,22000.0,846.2
14,Spices & Herbs,2004,26000.0,22000.0,846.2
15,Spices & Herbs,2005,26000.0,22000.0,846.2
16,Spices & Herbs,2006,26000.0,22000.0,846.2
17,Spices & Herbs,2007,26000.0,22000.0,846.2
18,Spices & Herbs,2008,26000.0,22000.0,846.2
19,Spices & Herbs,2009,27081.0,23195.35,856.5
20,Spices & Herbs,2010,28233.0,24407.0,864.5
21,Spices & Herbs,2011,29325.0,25560.41,871.6
22,Spices & Herbs,2012,31200.0,28000.0,897.4
23,Spices & Herbs,2013,31426.0,27830.02,885.6
24,Spices & Herbs,2014,31304.0,27591.4,881.4
25,Spices & Herbs,2015,31852.0,28186.76,884.9
26,Spices & Herbs,2016,32405.0,28746.23,887.1
27,Spices & Herbs,2017,32867.0,29274.85,890.7
28,Spices & Herbs,2018,33362.0,29794.76,893.1
29,Spices & Herbs,2019,33707.0,30229.16,896.8
30,Spices & Herbs,2020,34050.0,30622.68,899.3
31,Spices & Herbs,2021,34066.0,30215.53,887.0
32,Spices & Herbs,2022,34153.0,30355.79,888.8
33,Spices & Herbs,2023,34362.0,30398.0,884.6
34,Spices & Herbs,2024,34194.0,30323.11,886.8
35,Apples,1990,7571.0,61719.0,8152.0
36,Apples,1991,7618.0,64804.0,8506.7
37,Apples,1992,23158.0,260797.0,11261.6
38,Apples,1993,29331.0,354311.0,12079.7
39,Apples,1994,24130.0,312514.0,12951.3
