Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","818","Egypt","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1990","1990","ha","21500","E","Estimated value",""
"QCL","Crops and livestock products","818","Egypt","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1990","1990","kg/ha","837.2","E","Estimated value",""
"QCL","Crops and livestock products","818","Egypt","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1990","1990","t","18000","E","Estimated value",""
"QCL","Crops and livestock products","818","Egypt","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1991","1991","ha","20000","E","Estimated value",""
"QCL","Crops and livestock products","818","Egypt","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1991","1991","kg/ha","750","E","Estimated value",""
"QCL","Crops and livestock products","818","Egypt","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1991","1991","t","15000","E","Estimated value",""
"QCL","Crops and livestock products","818","Egypt","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1992","1992","ha","20000","E","Estimated value",""
"QCL","Crops and livestock products","818","Egypt","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1992","1992","kg/ha","700","E","Estimated value",""
"QCL","Crops and livestock products","818","Egypt","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1992","1992","t","14000","E","Estimated value",""
"QCL","Crops and livestock products","818","Egypt","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1993","1993","ha","20000","E","Estimated value",""
"QCL","Crops and livestock products","818","Egypt","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1993","1993","kg/ha","825","E","Estimated value",""
"QCL","Crops and livestock products","818","Egypt","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1993","1993","t","16500","E","Estimated value",""
"QCL","Crops and livestock products","818","Egypt","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1994","1994","ha","24000","E","Estimated value",""
